sub_id,block_type,mean_rt
1018,Risk Bad,1388.9220000001415
1018,Risk Good,2210.72542105273
1025,Risk Bad,2341.222000012398
1025,Risk Good,2387.384052628467
1030,Risk Bad,912.5770000016689
1030,Risk Good,806.7999999991059
1046,Risk Bad,583.1329999993742
1046,Risk Good,611.7760000002384
1050,Risk Bad,1072.6160000038146
1050,Risk Good,2509.577724458861
1054,Risk Bad,1614.9300000000094
1054,Risk Good,2715.0030000000006
1069,Risk Bad,1663.978105262612
1069,Risk Good,1318.9269999980927
1078,Risk Bad,2556.5738947368477
1078,Risk Good,1404.3600000000092
1079,Risk Bad,1993.0789999991655
1079,Risk Good,2209.799105262913
1080,Risk Bad,1914.865263157904
1080,Risk Good,2866.379473684197
1086,Risk Bad,1315.42
1086,Risk Good,1039.78
1089,Risk Bad,1291.027000002861
1089,Risk Good,826.0240000247956
1119,Risk Bad,799.9829999998957
1119,Risk Good,824.8920000002533
117,Risk Bad,938.9280000090599
117,Risk Good,602.2129999947548
130,Risk Bad,1107.220999999987
130,Risk Good,814.1380000000167
139,Risk Bad,758.7120000000018
139,Risk Good,868.7139999999828
143,Risk Bad,1356.0920000016688
143,Risk Good,1291.737999995947
147,Risk Bad,1051.8173500004923
147,Risk Good,1186.4449500001501
179,Risk Bad,2002.9843500012066
179,Risk Good,3428.616702630105
182,Risk Bad,717.4450000005961
182,Risk Good,647.7380000005662
188,Risk Bad,608.3467499993276
188,Risk Good,1039.865700006485
192,Risk Bad,915.0208000023849
192,Risk Good,978.6068789663382
198,Risk Bad,1087.319263150842
198,Risk Good,1929.514599989634
200,Risk Bad,800.6049999964238
200,Risk Good,889.3060000026226
202,Risk Bad,743.986000008583
202,Risk Good,704.8719999980926
208,Risk Bad,2135.2789999993147
208,Risk Good,2194.229999999341
211,Risk Bad,1346.7454999999993
211,Risk Good,1121.9984999999888
216,Risk Bad,780.0098499993328
216,Risk Good,834.5800710494912
217,Risk Bad,909.9914499999373
217,Risk Good,923.7681500001449
226,Risk Bad,1076.3485000003084
226,Risk Good,1043.447849999793
228,Risk Bad,1826.3398947379603
228,Risk Good,1666.0657426892387
231,Risk Bad,579.5300000029803
231,Risk Good,632.2409999996423
236,Risk Bad,772.3771000000124
236,Risk Good,941.1163999991585
239,Risk Bad,902.6767894753261
239,Risk Good,878.1191000010585
245,Risk Bad,1020.8031000010669
245,Risk Good,1080.3504999994766
249,Risk Bad,802.053850000957
249,Risk Good,1051.4396499999566
250,Risk Bad,861.8283000009251
250,Risk Good,928.6986500004423
277,Risk Bad,1869.56
277,Risk Good,1480.9729999999702
291,Risk Bad,1433.9370999999676
291,Risk Good,1128.2716999999677
311,Risk Bad,834.2550000071526
311,Risk Good,854.1479999995232
403,Risk Bad,637.4010000014305
403,Risk Good,832.8899999928475
407,Risk Bad,842.2190500097349
407,Risk Good,699.9372184171194
513,Risk Bad,1586.2803999999842
513,Risk Good,1225.927099999999
515,Risk Bad,1394.916999999918
515,Risk Good,1541.6919999999554
519,Risk Bad,866.3600000047684
519,Risk Good,1029.3557894828446
527,Risk Bad,655.88
527,Risk Good,796.57
543,Risk Bad,1136.8730000001192
543,Risk Good,1205.2819999977946
593,Risk Bad,1495.7166499993764
593,Risk Good,1570.690750000067
594,Risk Bad,992.6556157893624
594,Risk Good,1144.7505499981344
595,Risk Bad,1035.8979999996723
595,Risk Good,933.3470000001788
600,Risk Bad,1272.957000000477
600,Risk Good,1193.1589999938012
627,Risk Bad,804.6549999997765
627,Risk Good,696.9419999997317
628,Risk Bad,1559.1279999971389
628,Risk Good,1414.6790000057222
641,Risk Bad,1617.3457894736841
641,Risk Good,1051.65
646,Risk Bad,1105.439999999106
646,Risk Good,1992.875
733,Risk Bad,1047.4209999990462
733,Risk Good,920.1569999998808
782,Risk Bad,1109.1226000030292
782,Risk Good,977.7471999981208
795,Risk Bad,855.5721500000043
795,Risk Good,1351.1158499999938
796,Risk Bad,1460.069999999992
796,Risk Good,1501.1300000000028
814,Risk Bad,787.7800000035763
814,Risk Good,755.8556842124462
839,Risk Bad,596.7979999959468
839,Risk Good,730.3449999976158
841,Risk Bad,1548.2009999999404
841,Risk Good,1264.4060000000893
842,Risk Bad,749.5120000006259
842,Risk Good,1017.9410000005364
857,Risk Bad,1874.8404000117444
857,Risk Good,1685.1129499892704
858,Risk Bad,881.8775999996392
858,Risk Good,1534.4322000000068
859,Risk Bad,876.5532000000559
859,Risk Good,926.2258499996794
863,Risk Bad,1531.5299999999907
863,Risk Good,1543.5899999999976
870,Risk Bad,964.74
870,Risk Good,1109.7759999978541
871,Risk Bad,1762.591000000015
871,Risk Good,1390.2069999997318
875,Risk Bad,1710.2595789473269
875,Risk Good,1090.3070000001044
887,Risk Bad,1510.697399880737
887,Risk Good,1397.3261499218643
889,Risk Bad,786.1900000000023
889,Risk Good,699.8689999999967
890,Risk Bad,1133.6539999999106
890,Risk Good,1156.9059999999404
894,Risk Bad,502.24169999943115
894,Risk Good,749.4186000002082
900,Risk Bad,1127.8250000047683
900,Risk Good,1008.8080000066757
908,Risk Bad,1566.3578000012785
908,Risk Good,1442.838549996959
909,Risk Bad,3025.020999999996
909,Risk Good,2358.758999999999
914,Risk Bad,947.0556499902159
914,Risk Good,935.9750499948859
923,Risk Bad,1082.3453499982134
923,Risk Good,1076.026800002437
924,Risk Bad,820.5989999991656
924,Risk Good,848.0340000021457
929,Risk Bad,625.2559999972582
929,Risk Good,706.7509999981522
930,Risk Bad,1601.687999999523
930,Risk Good,1970.4750000035763
935,Risk Bad,1124.5519999995827
935,Risk Good,1305.3208947382789
946,Risk Bad,1877.9987657898241
946,Risk Good,1461.3581500004511
947,Risk Bad,1744.8385000030976
947,Risk Good,1754.2953000048874
954,Risk Bad,1101.9619999998808
954,Risk Good,1550.1605294112512
957,Risk Bad,2281.3900000000012
957,Risk Good,2146.1299999999906
959,Risk Bad,1373.0965999996988
959,Risk Good,1140.6263000004435
976,Risk Bad,986.66
976,Risk Good,1405.47
979,Risk Bad,843.7880000019073
979,Risk Good,871.7640000104903
980,Risk Bad,1430.664999988079
980,Risk Good,880.0759999966621
981,Risk Bad,2238.9061578625124
981,Risk Good,2050.5391579024417
995,Risk Bad,1054.8960000000893
995,Risk Good,843.9499999999628
A102,Risk Bad,652.1989473684175
A102,Risk Good,706.3900000000093
A1032,Risk Bad,870.3181999980006
A1032,Risk Good,909.9667499959469
A106,Risk Bad,869.5042000009562
A106,Risk Good,991.0462500003632
A1068,Risk Bad,867.8309500089381
A1068,Risk Good,1576.264113153233
A107,Risk Bad,718.0903500001644
A107,Risk Good,726.574649999967
A109,Risk Bad,356.55529999916325
A109,Risk Good,1014.343499999817
A110,Risk Bad,1279.4733000001177
A110,Risk Good,947.165800000081
A111,Risk Bad,1720.8155499969143
A111,Risk Good,1333.8610999984667
A1124,Risk Bad,700.6180500017945
A1124,Risk Good,684.3991500028642
A115,Risk Bad,1002.9099999999959
A115,Risk Good,1229.8521052631427
A116,Risk Bad,1029.8699999999965
A116,Risk Good,995.4199999999977
A1161,Risk Bad,1183.8590000003576
A1161,Risk Good,1308.479999999255
A1176,Risk Bad,649.046300011687
A1176,Risk Good,661.6017999919131
A121,Risk Bad,1339.0940000002086
A121,Risk Good,1780.1600000002793
A1225,Risk Bad,803.6100000000163
A1225,Risk Good,825.8500000000012
A1232,Risk Bad,845.2447368421032
A1232,Risk Good,851.7400000000058
A130,Risk Bad,649.139299999224
A130,Risk Good,718.3212894745674
A1353,Risk Bad,2234.1200000000035
A1353,Risk Good,1513.4999999999895
A1354,Risk Bad,1444.637000000179
A1354,Risk Good,1446.5169999997318
A1358,Risk Bad,523.66
A1358,Risk Good,542.92
A137,Risk Bad,746.4450000000372
A137,Risk Good,721.0349999998882
A1379,Risk Bad,923.3119999995083
A1379,Risk Good,827.8090000007302
A1380,Risk Bad,721.6399999999977
A1380,Risk Good,982.1899999999954
A1406,Risk Bad,887.749999999106
A1406,Risk Good,997.5209999999404
A1411,Risk Bad,1226.4799999985098
A1411,Risk Good,1443.9559999999403
A161,Risk Bad,799.1610000002012
A161,Risk Good,722.9269999999553
A188,Risk Bad,766.4514000108466
A188,Risk Good,1893.0834473751631
A198,Risk Bad,572.8122500074096
A198,Risk Good,535.0178999919444
A206,Risk Bad,549.0167500008829
A206,Risk Good,690.6133000040427
A217,Risk Bad,1140.2039999997617
A217,Risk Good,1072.1540000081063
A294,Risk Bad,693.9073999994434
A294,Risk Good,684.6113500045612
A333,Risk Bad,943.9399999999954
A333,Risk Good,1128.9399999999978
A367,Risk Bad,661.8089999990165
A367,Risk Good,665.0579999995232
A385,Risk Bad,555.4489999998733
A385,Risk Good,642.4709999999404
A428,Risk Bad,863.0332999999903
A428,Risk Good,1005.6631500000484
A476,Risk Bad,669.8337000026368
A476,Risk Good,709.3556999985594
A480,Risk Bad,576.5239999998361
A480,Risk Good,550.5020000001788
A535,Risk Bad,545.93
A535,Risk Good,571.06
A544,Risk Bad,772.8816500000866
A544,Risk Good,759.6913999999687
A557,Risk Bad,692.9263499996159
A557,Risk Good,718.8402500002849
A573,Risk Bad,606.0990499990294
A573,Risk Good,545.0190999975894
A577,Risk Bad,797.7189999997615
A577,Risk Good,1034.6670000076294
A586,Risk Bad,722.3595999949612
A586,Risk Good,534.9096499895677
A675,Risk Bad,1159.9939999914168
A675,Risk Good,886.4180000007153
A785,Risk Bad,628.796250000596
A785,Risk Good,594.3119499925524
A790,Risk Bad,1243.8
A790,Risk Good,884.6700000000001
A791,Risk Bad,1059.6994500007713
A791,Risk Good,894.6104500009096
A896,Risk Bad,622.9916500026593
A896,Risk Good,920.7865000027232
A941,Risk Bad,1180.1909000030719
A941,Risk Good,933.5411000181921
